"Axis.1"	"Axis.5"	"Axis.3"	"Axis.17"	"Axis.24"	"Axis.19"	"Axis.20"	"Axis.4"	"Axis.9"	"Axis.6"	"Axis.2"	"Axis.10"	"Axis.8"	"Axis.14"	"Axis.18"	"Axis.23"	"Axis.13"	"Axis.26"	"Axis.11"	"Axis.83"	"Axis.39"	"Axis.22"	"Axis.30"	"Axis.45"	"Axis.49"	"Axis.29"	"Axis.12"	"Axis.25"	"Axis.21"	"Axis.65"	"Axis.16"	"Axis.51"	"Axis.7"	"Axis.27"	"Axis.84"	"Axis.28"	"Axis.46"	"Axis.33"	"Axis.75"	"Axis.35"	"Axis.86"	"Axis.43"	"Axis.15"	"Axis.80"	"Axis.59"	"Axis.63"	"Axis.48"	"Axis.73"	"Axis.68"	"Axis.37"	"Axis.71"	"Axis.44"	"Axis.56"	"Axis.38"	"Axis.36"	"Axis.74"	"Axis.53"	"Axis.32"	"Axis.54"	"Axis.66"	"Axis.127"	"Axis.103"	"Axis.81"	"Axis.132"	"Axis.34"	"Axis.102"	"Axis.116"	"Axis.92"	"Axis.105"	"Axis.64"	"Axis.61"	"Axis.88"	"Axis.82"	"Axis.104"
"Y1"	-0.0601381789465423	0.0249818963253441	4.08802637441804e-05	-0.0071162260330369	0.0167582158343229	-0.00112756827253845	-0.00398151185859358	0.00532634959502478	-0.0349414768998573	0.0101162246815232	0.011877579254176	0.00190230308983085	-0.0120533373983518	0.00115386469822337	-0.00514732618726538	-0.00359293957088135	0.013812288397894	-0.00389351571256669	0.00672382070783644	-0.00154706635438452	0.00132498181454851	-0.00660620940358558	-0.000876456690667008	-0.000342674510165476	0.00146275012230936	-0.0107772068343953	-0.00222034243202991	-0.00414384921812507	-0.00536157602656215	-0.000615076326717867	0.00272678064095017	-0.00396213708035353	-0.0113178335366105	-0.000701626303831246	0.00401180937574032	-0.00637133584345338	-0.0016060694710855	0.00210907897974163	-0.00398534618141685	-0.00293362091602629	-0.00157395936611182	0.00444292060545662	-0.0114527722633209	-0.00491802386764467	0.000693683248087997	0.00524544924492213	-0.00093741893613703	-0.00225895526000167	-0.000420194553408991	0.00834303599006442	0.00482215926334488	-0.00206478238996635	-0.00430305728119634	-0.00818006206069216	-0.00434416690878321	0.000383273529379852	0.00661726898752204	-1.61624585091494e-05	-0.00323153894944246	-0.00467907195439203	0.00598073993294299	-0.00760917499460846	-0.003372737513899	-0.00228144672618444	0.000422112164232225	0.0020985664204252	-0.0014918001077264	-0.00288498096788109	-0.000395907336131115	-0.00184024882352845	-0.00658319003822312	0.000557368557346444	-0.000623704408572709	-0.00124033963355487
"M1"	-0.0483370486048357	0.0239577807473361	0.0208229055619516	0.00582013327143312	-0.00199278316005615	-0.0131503151984459	-0.00900974929017989	0.00660914459728151	-0.0243918998826374	0.00500845566575576	-0.0156113106724243	-0.00658580875716112	-0.0103984427882797	-0.0146132729331898	0.00325994173745076	0.00237429362611777	0.0114868551530185	0.0106825569153044	-0.00902567936474771	0.00215855849922201	0.00267861594161936	-0.00176108840276237	0.00416850412622776	0.00484466859466758	-0.00046465746871753	0.000166713250675755	0.00954075176237355	0.00840513798721346	-0.00516812914713715	0.000486703371690867	-0.00316172498652376	-0.00402573419704028	-0.00557062767171975	0.00222251565959049	-0.00261209484366228	0.00671050752609555	0.0075053900397567	0.011135977263107	0.000998320562788715	-0.00468479341958077	-0.00463761978440562	0.00105769802629416	0.00542254912268558	-0.000655167187724344	-0.000523689255848117	-0.00130616813316586	0.00445537706382609	0.00369006800500687	-0.00246272320967926	-0.00506749118851335	0.00284372079985943	-0.000767751568070119	-0.00144247371147464	0.00854959304200468	0.0114822833563659	-0.000779457767124905	0.00254685076017824	0.000677449733151955	0.00550814673490798	-0.00480565579119788	-0.00255322954370688	-0.00101548448313476	4.37159313879077e-05	0.00468959800652184	0.00286252176653611	-0.00215094442010202	0.0017026119667698	0.0005830412105008	0.00433182785368141	-0.00283904041133003	-0.000807458943356293	0.000657433430550734	0.000551282483214607	0.00667933574585379
"M2"	-0.0734439726765469	0.015178561743688	-0.0062546840324738	0.0139946627954994	0.0119198382569994	-6.2715063358189e-05	-0.00075386441502443	0.0212647130283441	-0.0140006593642619	-0.00529489847592005	-0.0167723975276532	-0.0167711207528624	-0.0146947044294431	0.00081739839121374	-0.0140538685350462	-0.00483568412559314	0.0185141402357977	0.00280356498028187	-0.00442790824511191	-0.00494916058613095	-0.00367993781793352	0.0114420337174717	-0.00729893462551305	0.0072628040034413	0.00298937707023737	0.00366258043967958	0.0118173989361358	0.0108334372965426	-0.00837115535660407	0.00269858055835603	0.00668428227930302	-0.00926814788315385	-0.012495580716885	-0.000422420749460379	0.00516275153276732	-0.000757367882531215	0.00281330349129657	-0.00890045468536376	-0.00282829767400624	0.00628931776001253	0.00234195606179615	-0.00023834861667036	0.00998633902893053	0.000902423560868115	-0.00270491621794988	0.00561258286996261	-0.00334963553893855	-0.0040197803746132	0.000831212103261761	0.000379095831570412	-0.000887864432237622	0.00296992830335101	-0.00404142124081431	0.00844133268387505	-0.00939914355171674	-0.00379201167259127	0.00296270521168279	5.10968535868545e-05	-0.00348057558154837	0.000871305125528863	0.00163623107566135	-0.000414413448382964	-0.00179836652986892	7.04336785795135e-05	-0.00250367437927584	-0.000273852742043762	0.000691856585628873	0.00182778307343655	-0.000894829891225265	0.000230508132095187	-0.00101756861338188	-0.000773866469743211	0.00890052683032033	0.00131047737058338
"M3"	0.0103863836477767	-0.00691189377334163	0.0351206788688103	0.000791744155161252	-0.00421566100766797	-0.00146486988035387	-0.00206869512922943	-0.00317344236882635	-0.0098120266031792	-0.0284673136861583	-0.0498465324909819	-0.00314779832196682	0.00828763459800543	-0.00119732390641447	0.00450616799542361	0.00327348166080476	0.00994227299032913	0.00680431150119604	0.012427181722093	-0.000769776357901605	-0.000135673603224692	-0.0172643682494295	0.00675330635124724	-0.00246896181000162	0.00883607573967752	0.00246196958793548	-0.00283483155490875	-0.00756545550134271	-0.000349245414266713	0.00445070924805168	0.0153634184769324	0.00614114692315301	-0.0135692666071349	0.000689132571910155	0.00305949296472876	-0.0130315213532638	-0.00528537893120571	0.0131378875016705	0.00401782283037442	0.0083657343927136	0.000964698573266249	-0.00269650329973224	0.00783982679139127	0.000418384716054318	-0.00193318572782906	0.0022053239331089	0.00578295575861131	-0.00137556887459418	0.00187341702461494	-0.0107555120547641	-0.000177892631376633	-0.000500669165864966	0.00304666461590469	0.0108640207320742	-0.00209152681127382	-0.00622664513985258	-0.000663570114131387	-0.00328841258254212	0.00819595184001519	-0.00363156084621893	0.00318581231222719	-0.0022782628756372	0.00439615188046919	0.00132458826222532	0.000985282542668725	-0.00414867000927068	0.00390621180260525	0.00274995769194677	0.00255274444286453	0.0012430635730525	0.00391742650583986	-0.00162399043515126	0.0109189306355209	0.00058714057177359
"M4"	-0.0564657873091561	0.0347341916179174	0.00407308889098957	-0.0192341636287623	0.00927179207823554	-0.0116900775055256	-0.00522482386318053	0.0028386644597836	-0.0143271288150668	-0.00827262551537023	0.01114857741781	-0.00109624145440458	-0.0052681693283844	-0.00999141053217675	-0.0084757730519718	-0.00106786546483811	0.0130931685028818	-0.00540416197329237	-0.00591014666342883	0.00236395746870561	-0.0029642976722558	0.00710147675666113	0.0113856262142567	0.00151596769011858	0.000208932522417266	-0.00163441920058276	0.00761064184386588	0.00452059013760927	0.00478316168213722	-0.000101706689841464	-0.0122791070377847	0.00332195511279774	-0.0121476239991926	0.00649632991740432	-0.00145578963541686	0.00237071045320039	0.000254041869216646	0.00371867248081789	0.000290770795467707	9.70826815548075e-05	0.00486734955307387	0.00117272416632086	-0.005655373428019	-0.00151792834489159	0.00196861645898944	-0.00516407103240442	-0.00395965959016784	-0.00202584628645235	0.00303433864953145	0.00165344468599649	0.00772690245872873	0.0047946792549133	0.00186420316046154	-0.00167241991084745	0.00211992207832171	0.0049549167026442	0.00275111339582018	0.0053495320956313	-0.00463637997439615	-0.0011796415021731	0.00208834707414359	-8.79759213264019e-05	0.00264607482192523	0.00566238260757907	0.00793814010838114	-0.00192028952571726	-0.00448667705582585	0.00613818382447725	0.00207150096921814	0.000612450859832864	-0.00587201328041059	0.00186368760502977	-0.00707974561379846	0.000975425604431226
"M5"	-0.0219466855987068	0.00388585352551639	-0.114975548475225	-0.00914858733835751	-0.0379334040868662	0.0149187493196157	-0.036605965235491	-0.12553933529371	-0.00226360084882829	0.0123847528173582	-0.0824621165223145	0.00314448798675766	-0.0110258559919043	-0.0087729434448983	-0.00104498750296243	-0.0160545378477115	-0.000874654775906854	-0.0108616749912894	0.0111479974266917	9.51108061304286e-05	0.00931059597899977	0.00385469935230209	-0.0151751343311105	-0.00150757700182887	-0.00239822010675413	-0.00251694548344118	-0.00331343508157495	0.0370318862273279	-0.0093904096230622	-0.00017406223991961	-0.0105851961286611	-0.00056226646625297	-0.0217185653122525	0.00584501728483627	0.000282901321852046	-0.0359516879637073	0.000725766841706496	0.000602403269340605	0.000844218106004314	-0.000891335570523325	0.000237642355661872	-0.00450046259906592	-0.00431093942151768	-0.000570266103802528	-0.00175400901191904	-0.00160330555920893	0.00477200346255087	0.00109010115009855	0.00028970233956631	-0.00293654939094513	0.00145321316226894	0.00677548697660761	-0.00271506251262672	-0.000632451458078596	0.00156870240269363	0.0008270302793409	0.00190014502081051	0.00731166539740924	-0.00296282319339621	-0.00052266087198241	0.000200591550861518	-0.00044375152966104	0.000351027293937419	7.27571667109834e-05	-0.00166721263146467	9.22160571383656e-05	0.000102742874691983	0.000514334043032378	0.000130626185543723	0.00171331531555878	0.000399955726914097	-0.000777627759066272	-0.000962077094132856	0.000138973408616025
"M9"	0.00501511032955538	-0.000987332250117943	0.043692527697631	-0.0108283456059476	0.000188704893505647	-0.00856782114058365	-0.0057347596491101	-0.0101194526990581	-0.00448488764814988	-0.00831754405355438	-0.03083783968697	-0.00253889850738368	0.00957387052131976	-0.00782843478626478	-0.00582723431707441	0.0104354514487245	-0.00195123185223728	-0.00576963946206164	0.0208985155244115	0.00027258487730882	0.000358649792128544	0.00892798629210859	-3.50024094157885e-05	-0.00705848725602307	0.00540379741269842	0.00360544249453486	-0.0121724666546411	-0.00189741197473876	0.00658160075549226	0.00405226534313201	0.00101294028489227	-0.00538828941398749	-0.0147414339232782	-0.00212169583395761	0.000416916215010319	0.00547264526072918	-0.0040289569614766	0.00495227169352643	-0.00115115421593518	-0.00351317323946891	0.000441746080785017	0.000222434463028464	-0.000500632771746907	-0.00143473991360941	-0.00398431923604435	0.00170339744036928	0.0058334268674153	-0.00395277367702372	-0.00354445500378837	0.00542567891253854	0.00255464858661993	-0.00489805538605464	0.00228394988601384	0.00483271468230361	0.0017734612937551	0.000412538355253298	-0.00299226102292955	0.0067756479409536	0.00422062144401819	-0.00526001044322663	0.000431119568720721	5.2429610446901e-05	-0.00119726122068315	6.67224415456618e-05	-0.0013292275067861	-0.00260953368063947	-0.000322890210906625	-0.00320714502619614	-0.0012305984617919	0.0053467221765092	0.00550255889705489	0.00302567119953204	-0.00282704056292104	-0.00280048468249066
"M10"	-0.0035309557298435	0.0206272277565533	0.0264420442202634	0.0035072466911639	-0.00225897550453047	-0.00263022549684779	-0.00173724007317948	-0.0137296819888842	0.0136579098989591	0.0178601420256388	0.0178417856299184	0.0141195084910927	-0.0148349340679997	0.00220908995563758	0.00544579188497095	0.00729905301377414	-0.010267917812351	0.00669528481878006	-0.0294078352017033	0.00020634819618433	0.00195719203100538	-0.00259147213675931	-0.00764361896532088	0.00303432509190113	0.00722292626165638	0.00175340180685035	0.0176437797057584	-0.000323720187809396	-0.00987322088076317	-0.0033830275126936	-0.000443360416129578	-0.000108655475276214	0.00274239797357342	-0.00456192830193305	-0.00210711499012742	0.00411362100793594	-0.00450068698997823	-0.0037687887047772	-0.00975929913584236	-0.00620265190754767	-0.000148404202286695	-0.00431097107017341	-0.00173629254677389	0.00235309248556118	-0.0103585122926024	0.000227479837841976	0.00320483134026802	-0.00183839460266129	-0.00420883645683413	-0.00432210555369751	0.000878470448634555	-0.00165396438468785	-0.00210981518530578	0.00563233794771355	0.00172677526537996	-0.00608648650597658	0.0021703809357711	0.00587084988061196	-0.00940024735196774	-0.00431818263627061	0.000405692582884629	-0.000236084387102464	-0.00122392680164818	-0.00235616621427574	-0.000488940677825427	-0.00250033692407067	0.00207173992467771	-0.0017104648608239	-0.00241330529969259	-0.00101196001705001	0.00155345492770748	0.00163534352784399	-0.0029143907140656	-0.00122678291399678
"M13"	-0.0588622755948552	0.00260007616448272	-0.0341648440759854	0.000844441330938045	0.00230155821390488	0.00958008879563924	0.00681240488429535	0.004829198577305	-0.0261853461562778	0.0208818398758344	0.0407025764426153	0.0337847052563799	-0.0187912223117025	0.0303587866372985	0.000865866359819691	0.00461129355512497	0.00538711310134908	0.0110635401437065	0.00331560825607245	0.00114761950872794	-0.0074706569744866	0.00949087125178468	-0.000452508684255343	-0.0014436547236538	-0.00123716404070141	-0.0062190724657918	0.000145702565612663	0.00681959877436792	0.00313405358565864	0.00242082321966475	0.0319740746434993	-0.00321862397779639	-0.0261799762690979	-0.0139413779323608	0.000789000691465997	0.00144603609091078	-0.00543231267684354	-0.0136102401139086	-0.00226150048282818	-0.009381257002404	0.000219095674165612	-0.00230169609265418	0.00342913330622622	-0.00604958236302531	0.00318780360495401	-0.00441647451266193	0.000389716588446221	-0.00306904628808488	-0.00584511710855982	-0.0154481059515971	-0.0031784197056355	-0.00600351449433864	-0.000790868496861836	0.00495465220680226	0.00921094289681193	0.00383142659279427	-0.012139551327366	-0.00105613662306654	-0.00163614369171739	-0.00140853444610184	0.00244291584578226	-0.00221891787426002	0.0069990111212372	0.00379126111267461	-0.00253694974561252	-0.00149310971357702	-0.00236441728228209	0.00525807917059698	-0.000457518197671154	-0.00283135830635384	0.00383317225946539	0.00255808238820227	0.0038230130895908	0.00117071625813984
"M14"	0.0493397338104212	-0.0204900272713713	0.0140305885356583	0.009314991313453	0.00207225741843218	-0.0108827537646003	-0.0123213685503796	0.000921971258661845	0.00997491644907347	0.0216581689712313	0.0347983273482692	-0.0144645718627424	-0.00333503743115446	-0.0176299542959283	-0.00549708295882219	-0.000893895836153951	-0.00473473476912264	-0.0146320334061232	-0.00624008123121275	-0.0017468823340265	-0.0064776320164749	-0.00277718114427227	-0.00287308886129037	0.000824449114704658	0.0031380051136052	0.00820754505421369	-0.00276955461300565	-0.00187851944951014	-0.00684725844665156	-0.002955486766897	0.00997820637754043	-0.00577333118173796	-0.00918958329892136	-0.00551662394655266	0.00182443942823975	0.00545303126190983	0.000781594271870317	-0.00350461370776281	0.00413287214526808	0.00259352555819647	-0.00213692498445565	-0.00698977908020813	-0.0129635707408314	-0.00715794743826318	0.00660801217762643	-0.00195911715912754	0.00058633424421656	0.00403112911199348	0.00302614617771241	-0.000866670852803282	-0.000956175966042614	0.00239576755394081	0.00390972346992272	-0.00421926628275324	-0.0070802279636321	-0.00396975508010033	-0.0109920239060178	0.00949893339028504	-0.00213533103083598	-0.00248283508296305	-0.000629110929318282	0.000298502862622488	-0.000242028760562203	0.00431749210012777	0.00361908927648268	-0.00142158820407779	0.000610038373345684	0.00239170712332642	0.00404927690265742	-0.00369340747273068	0.000209376505041488	-0.00128758919628884	-0.000671495588439375	-0.006557453027567
